"source_name"	"object_name"	"concept"	"hit_type"	"matched_column"	"notes"
"RKKP_LYFO"	"RKKP_LYFO"	"bone_involvement"	"column_name"	"Reg_Lokal_Knoglemarv"	"CRAB / skeletal involvement"
"RKKP_LYFO"	"RKKP_LYFO"	"bone_involvement"	"column_name"	"Reg_Lokal_Knogler"	"CRAB / skeletal involvement"
"RKKP_LYFO"	"RKKP_LYFO"	"r_iss_or_stage"	"column_name"	"Reg_Stadium"	"Staging fields"
"RKKP_LYFO"	"RKKP_LYFO"	"sks"	"column_name"	"Reg_WHOHistologikode1"	"Procedure / treatment code system"
"RKKP_LYFO"	"RKKP_LYFO"	"sks"	"column_name"	"Reg_WHOHistologikode2"	"Procedure / treatment code system"
"RKKP_LYFO"	"RKKP_LYFO"	"sks"	"column_name"	"Reg_SKSKodeAndenMalignSygdom"	"Procedure / treatment code system"
"RKKP_LYFO"	"RKKP_LYFO"	"sks"	"column_name"	"Rec_WHOHistologikode"	"Procedure / treatment code system"
"RKKP_CLL"	"RKKP_CLL"	"weight"	"column_name"	"Beh_Vaegttab"	"Anthropometrics"
"RKKP_CLL"	"RKKP_CLL"	"multiple_myeloma"	"column_name"	"Reg_Diagnose_dt"	"Disease labels / codes"
"RKKP_CLL"	"RKKP_CLL"	"bone_involvement"	"column_name"	"Reg_KnoglemarvsUndersoegelse"	"CRAB / skeletal involvement"
"RKKP_CLL"	"RKKP_CLL"	"r_iss_or_stage"	"column_name"	"Reg_BinetStadium"	"Staging fields"
"SDS_epikur"	"SDS_epikur"	"atc"	"column_name"	"atc"	"Medication code system"
"SDS_ekokur"	"SDS_ekokur"	"atc"	"column_name"	"atc"	"Medication code system"
"SDS_ekokur"	"SDS_ekokur"	"atc"	"column_name"	"drugid"	"Medication code system"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"atc"	"column_name"	"v_drugid"	"Medication code system"
"SDS_pato"	"SDS_pato"	"sks"	"column_name"	"c_snomedkode"	"Procedure / treatment code system"
"SDS_t_tumor"	"SDS_t_tumor"	"multiple_myeloma"	"column_name"	"v_diagnosealder"	"Disease labels / codes"
"SDS_t_tumor"	"SDS_t_tumor"	"multiple_myeloma"	"column_name"	"d_diagnosedato"	"Disease labels / codes"
"SDS_kontakter"	"SDS_kontakter"	"multiple_myeloma"	"column_name"	"aktionsdiagnose"	"Disease labels / codes"
"SDS_diagnoser"	"SDS_diagnoser"	"multiple_myeloma"	"column_name"	"diagnosekode"	"Disease labels / codes"
"SDS_diagnoser"	"SDS_diagnoser"	"multiple_myeloma"	"column_name"	"diagnosetype"	"Disease labels / codes"
"SDS_diagnoser"	"SDS_diagnoser"	"multiple_myeloma"	"column_name"	"diagnosekode_parent"	"Disease labels / codes"
"SDS_diagnoser"	"SDS_diagnoser"	"multiple_myeloma"	"column_name"	"diagnosetype_parent"	"Disease labels / codes"
"SDS_diagnoser"	"SDS_diagnoser"	"sks"	"column_name"	"diagnosekode"	"Procedure / treatment code system"
"SDS_diagnoser"	"SDS_diagnoser"	"sks"	"column_name"	"diagnosekode_parent"	"Procedure / treatment code system"
"SDS_organisationer"	"SDS_organisationer"	"sks"	"column_name"	"kode"	"Procedure / treatment code system"
"SDS_organisationer"	"SDS_organisationer"	"sks"	"column_name"	"kodetype"	"Procedure / treatment code system"
"SDS_resultater"	"SDS_resultater"	"sks"	"column_name"	"triggerkode"	"Procedure / treatment code system"
"SP_Social_Hx"	"SP_Social_Hx"	"smoking_tobacco"	"column_name"	"ryger"	"Smoking / tobacco history"
"SP_Social_Hx"	"SP_Social_Hx"	"alcohol"	"column_name"	"drikker"	"Alcohol use history"
"SP_PatientInfo"	"SP_PatientInfo"	"weight"	"column_name"	"weight_in_kg"	"Anthropometrics"
"SP_PatientInfo"	"SP_PatientInfo"	"height"	"column_name"	"height_in_cm"	"Anthropometrics"
"SP_PatientInfo"	"SP_PatientInfo"	"bmi"	"column_name"	"bmi"	"Anthropometrics"
"SP_ITAOphold"	"SP_ITAOphold"	"multiple_myeloma"	"column_name"	"aktionsdiagnose"	"Disease labels / codes"
"SP_OrdineretMedicin"	"SP_OrdineretMedicin"	"atc"	"column_name"	"medication_id"	"Medication code system"
"SP_OrdineretMedicin"	"SP_OrdineretMedicin"	"atc"	"column_name"	"atc"	"Medication code system"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"weight"	"column_name"	"Weightloss"	"Anthropometrics"
"CLL_TREAT"	"CLL_TREAT"	"smoking_tobacco"	"column_name"	"Smoking"	"Smoking / tobacco history"
"CLL_TREAT_IBRUTINIB"	"CLL_TREAT_IBRUTINIB"	"smoking_tobacco"	"column_name"	"smoking"	"Smoking / tobacco history"
"CLL_TREAT_IBRUTINIB"	"CLL_TREAT_IBRUTINIB"	"alcohol"	"column_name"	"alcohol"	"Alcohol use history"
