"source_name"	"object_name"	"column"	"value"	"n"
"RKKP_LYFO"	"RKKP_LYFO"	"IPI"	"5"	"698"
"RKKP_LYFO"	"RKKP_LYFO"	"IPS"	"2"	"711"
"RKKP_LYFO"	"RKKP_LYFO"	"IPS"	"1"	"634"
"RKKP_LYFO"	"RKKP_LYFO"	"IPS"	"3"	"516"
"RKKP_LYFO"	"RKKP_LYFO"	"IPS"	"4"	"290"
"RKKP_LYFO"	"RKKP_LYFO"	"IPS"	"0"	"188"
"RKKP_LYFO"	"RKKP_LYFO"	"IPS"	"5"	"132"
"RKKP_LYFO"	"RKKP_LYFO"	"IPS"	"6"	"45"
"RKKP_LYFO"	"RKKP_LYFO"	"IPS"	"7"	"1"
"RKKP_LYFO"	"RKKP_LYFO"	"aaIPI"	"1"	"11379"
"RKKP_LYFO"	"RKKP_LYFO"	"aaIPI"	"2"	"7074"
"RKKP_LYFO"	"RKKP_LYFO"	"aaIPI"	"0"	"5528"
"RKKP_LYFO"	"RKKP_LYFO"	"aaIPI"	"3"	"1836"
"RKKP_LYFO"	"RKKP_LYFO"	"FLIPI"	"2"	"1300"
"RKKP_LYFO"	"RKKP_LYFO"	"FLIPI"	"3"	"1066"
"RKKP_LYFO"	"RKKP_LYFO"	"FLIPI"	"1"	"1052"
"RKKP_LYFO"	"RKKP_LYFO"	"FLIPI"	"4"	"486"
"RKKP_LYFO"	"RKKP_LYFO"	"FLIPI"	"0"	"370"
"RKKP_LYFO"	"RKKP_LYFO"	"FLIPI"	"5"	"114"
"RKKP_LYFO"	"RKKP_LYFO"	"FLIPI2"	"1"	"1281"
"RKKP_LYFO"	"RKKP_LYFO"	"FLIPI2"	"2"	"952"
"RKKP_LYFO"	"RKKP_LYFO"	"FLIPI2"	"0"	"559"
"RKKP_LYFO"	"RKKP_LYFO"	"FLIPI2"	"3"	"558"
"RKKP_LYFO"	"RKKP_LYFO"	"FLIPI2"	"4"	"221"
"RKKP_LYFO"	"RKKP_LYFO"	"FLIPI2"	"5"	"32"
"RKKP_LYFO"	"RKKP_LYFO"	"CNSs"	"N"	"26364"
"RKKP_LYFO"	"RKKP_LYFO"	"CNSs"	"Y"	"697"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"08-11-2021"	"16"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"24-06-2019"	"16"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"12-08-2019"	"15"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"13-02-2020"	"15"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"25-05-2021"	"15"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"05-07-2023"	"14"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"08-08-2012"	"14"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"09-03-2017"	"14"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"10-06-2020"	"14"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"15-02-2021"	"14"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"15-04-2020"	"14"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"17-07-2023"	"14"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"20-05-2020"	"14"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"27-06-2016"	"14"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"27-06-2017"	"14"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"03-06-2010"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"04-02-2022"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"10-05-2021"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"12-11-2021"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"15-08-2017"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"16-05-2022"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"16-10-2007"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"16-10-2013"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"19-07-2021"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"20-12-2021"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"22-06-2020"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"22-10-2008"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"23-02-2016"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"23-02-2023"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"23-04-2014"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"24-10-2022"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"27-05-2020"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"27-10-2017"	"13"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"02-06-2022"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"03-08-2016"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"03-08-2020"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"03-08-2023"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"04-05-2021"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"05-01-2015"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"05-10-2016"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"05-12-2018"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"06-01-2006"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"07-01-2010"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"08-04-2021"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"08-09-2014"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"09-12-2020"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"10-02-2016"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"10-06-2011"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"11-02-2022"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_DiagnostiskBiopsi_dt"	"12-02-2021"	"12"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_WHOHistologikode1"	"9680"	"8698"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_WHOHistologikode1"	"9671"	"2856"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_WHOHistologikode1"	"9695"	"1587"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_WHOHistologikode1"	"9699"	"1523"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_WHOHistologikode1"	"9673"	"1417"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_WHOHistologikode1"	"9670"	"1366"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_WHOHistologikode1"	"9663"	"1250"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_WHOHistologikode1"	"9691"	"1105"
"RKKP_LYFO"	"RKKP_LYFO"	"Reg_WHOHistologikode1"	"9690"	"989"
